Date,Max,Avg,Min
29-Feb-20,32,27.3,22
1-Mar-20,33,20.7,6
2-Mar-20,44,35.3,29
3-Mar-20,49,39.9,35
4-Mar-20,45,37,33
5-Mar-20,41,34.9,32
6-Mar-20,43,35.5,29
7-Mar-20,36,27.8,21
8-Mar-20,53,35.8,20
9-Mar-20,68,48,29
10-Mar-20,59,47,38
11-Mar-20,38,33.4,28
12-Mar-20,51,41.8,33
13-Mar-20,52,45.3,38
14-Mar-20,38,36.5,34
15-Mar-20,41,32.5,27
16-Mar-20,46,32.8,20
17-Mar-20,43,40.3,35
18-Mar-20,47,37,20
19-Mar-20,49,43.4,39
20-Mar-20,71,50.8,36
21-Mar-20,38,30.8,24
22-Mar-20,40,29,16
23-Mar-20,33,30.9,30
24-Mar-20,39,32.1,23
25-Mar-20,42,36.9,31
26-Mar-20,62,46.3,29
27-Mar-20,49,42.3,31
28-Mar-20,47,39.4,27
29-Mar-20,52,46.7,43
30-Mar-20,50,45,42
31-Mar-20,51,43.1,39
1-Apr-20,53,43.8,35
2-Apr-20,57,46.1,37
3-Apr-20,50,45.9,41
4-Apr-20,55,49.2,45
5-Apr-20,59,48.9,43
6-Apr-20,63,53.2,44
7-Apr-20,63,53.8,48
8-Apr-20,59,50.8,44
9-Apr-20,52,45.8,41
10-Apr-20,44,41,35
11-Apr-20,51,43.5,36
12-Apr-20,57,48.2,33
13-Apr-20,62,56.2,52
14-Apr-20,54,49,44
15-Apr-20,50,41.8,0
16-Apr-20,45,42,36
17-Apr-20,47,38.9,32
18-Apr-20,44,40.3,38
19-Apr-20,59,48.5,33
20-Apr-20,53,48,39
21-Apr-20,52,44.9,37
22-Apr-20,47,39.7,34
23-Apr-20,46,40,34
24-Apr-20,49,43.6,39
25-Apr-20,62,49.2,35
26-Apr-20,47,44.7,41
27-Apr-20,47,41.6,37
28-Apr-20,62,48.6,38
29-Apr-20,51,46.1,42
30-Apr-20,59,51.5,43
1-May-20,61,55.3,53
2-May-20,70,60.5,49
3-May-20,77,65.3,52
4-May-20,67,58.7,47
5-May-20,60,50.8,43
6-May-20,51,46.4,42
7-May-20,64,54.1,42
8-May-20,53,45.1,40
9-May-20,44,36.5,32
10-May-20,61,49.6,36
11-May-20,59,49.8,42
12-May-20,64,48.6,41
13-May-20,60,48.5,36
14-May-20,65,52.2,0
15-May-20,82,67.6,54
16-May-20,74,66,58
17-May-20,65,57.2,50
18-May-20,67,58.6,51
19-May-20,64,57,51
20-May-20,63,50.9,0
21-May-20,66,53,38
22-May-20,73,62.4,49
23-May-20,67,61.5,54
24-May-20,66,56.6,47
25-May-20,67,58.7,54
26-May-20,75,61.5,55
27-May-20,76,63.4,58
28-May-20,72,65.9,62
29-May-20,77,68.6,63
30-May-20,78,68.4,64
31-May-20,67,59.8,51
1-Jun-20,68,54,0
2-Jun-20,71,63.2,53
3-Jun-20,78,68.1,59
4-Jun-20,83,71.9,63
5-Jun-20,75,69.2,66
6-Jun-20,85,73.1,66
7-Jun-20,73,65.3,58
8-Jun-20,77,64.9,52
9-Jun-20,85,72.8,58
10-Jun-20,79,71.9,66
11-Jun-20,77,69.8,67
12-Jun-20,82,71.8,65
13-Jun-20,71,62.8,54
14-Jun-20,70,59.4,47
15-Jun-20,70,62.4,53
16-Jun-20,73,64.8,54
17-Jun-20,76,66.3,56
18-Jun-20,75,67.5,62
19-Jun-20,81,71.1,64
20-Jun-20,84,72.9,64
21-Jun-20,85,74.7,64
22-Jun-20,88,77.2,67
23-Jun-20,85,75.4,66
24-Jun-20,84,75.8,70
25-Jun-20,83,73.7,66
26-Jun-20,84,73.5,62
27-Jun-20,79,72.3,63
28-Jun-20,86,73.8,66
29-Jun-20,85,73.8,65
30-Jun-20,76,68.7,63
1-Jul-20,82,69.6,64
2-Jul-20,90,76.7,64
3-Jul-20,86,75.8,69
4-Jul-20,82,72.2,65
5-Jul-20,89,76.8,66
6-Jul-20,88,76.5,69
7-Jul-20,76,70.5,68
8-Jul-20,84,74.2,69
9-Jul-20,86,76.8,69
10-Jul-20,75,72.7,71
11-Jul-20,82,75.8,71
12-Jul-20,86,77,69
13-Jul-20,85,77.1,69
14-Jul-20,83,74.3,67
15-Jul-20,80,70.5,66
16-Jul-20,75,69.9,65
17-Jul-20,81,71.1,65
18-Jul-20,88,76.8,68
19-Jul-20,92,80.6,70
20-Jul-20,89,82.5,75
21-Jul-20,88,79,70
22-Jul-20,89,77.4,71
23-Jul-20,86,77.1,70
24-Jul-20,79,74,69
25-Jul-20,86,77.7,68
26-Jul-20,89,80.9,74
27-Jul-20,92,82.8,70
28-Jul-20,89,82,74
29-Jul-20,87,78.5,69
30-Jul-20,90,78,70
31-Jul-20,80,71.8,68
1-Aug-20,86,76.3,66
2-Aug-20,86,78.4,74
3-Aug-20,87,78.7,70
4-Aug-20,77,72.5,69
5-Aug-20,84,75.4,67
6-Aug-20,79,71,64
7-Aug-20,77,70.8,67
8-Aug-20,81,72.4,66
9-Aug-20,83,73.9,66
10-Aug-20,89,78.7,70
11-Aug-20,86,77.9,71
12-Aug-20,86,77.8,73
13-Aug-20,78,73.8,70
14-Aug-20,84,75.9,69
15-Aug-20,81,71.6,64
16-Aug-20,68,66.3,65
17-Aug-20,79,68,59
18-Aug-20,80,69.7,61
19-Aug-20,71,66,62
20-Aug-20,77,67,56
21-Aug-20,83,72.7,61
22-Aug-20,86,76.6,69
23-Aug-20,84,75.8,68
24-Aug-20,89,76.5,69
25-Aug-20,87,77.6,69
26-Aug-20,75,69.1,62
27-Aug-20,89,73.3,64
28-Aug-20,83,74.5,69
29-Aug-20,79,73.1,69
30-Aug-20,76,69.6,60
31-Aug-20,73,65.2,57
1-Sep-20,75,68.2,64
2-Sep-20,78,71.8,66
3-Sep-20,82,73.9,67
4-Sep-20,82,72.6,63
5-Sep-20,76,66.7,57
6-Sep-20,79,68.8,60
7-Sep-20,78,68.8,61
8-Sep-20,81,70.2,61
