DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,CASE_COUNT_7DAY_AVG,INCOMPLETE
2/29/2020,1,11,0,,
3/1/2020,0,4,0,,
3/2/2020,0,21,0,,
3/3/2020,1,20,0,,
3/4/2020,5,22,0,,
3/5/2020,3,20,0,,
3/6/2020,8,18,0,3,
3/7/2020,7,15,0,3,
3/8/2020,22,17,0,7,
3/9/2020,57,49,0,15,
3/10/2020,70,63,0,25,
3/11/2020,155,90,1,46,
3/12/2020,357,94,0,97,
3/13/2020,619,157,0,184,
3/14/2020,642,157,2,275,
3/15/2020,1036,191,5,419,
3/16/2020,2121,316,8,714,
3/17/2020,2452,356,8,1055,
3/18/2020,2971,470,20,1457,
3/19/2020,3707,560,24,1935,
3/20/2020,4007,665,47,2419,
3/21/2020,2637,701,44,2704,
3/22/2020,2580,725,50,2925,
3/23/2020,3571,1042,82,3132,
3/24/2020,4503,1167,95,3425,
3/25/2020,4874,1311,123,3697,
3/26/2020,5050,1455,190,3889,
3/27/2020,5120,1403,218,4048,
3/28/2020,3478,1370,274,4168,
3/29/2020,3562,1411,292,4308,
3/30/2020,6131,1722,325,4674,
3/31/2020,5466,1702,385,4812,
4/1/2020,5454,1651,447,4894,
4/2/2020,5757,1629,499,4995,
4/3/2020,5670,1603,498,5074,
4/4/2020,3866,1350,512,5129,
4/5/2020,3787,1338,580,5162,
4/6/2020,6366,1724,575,5195,
4/7/2020,6051,1610,599,5279,
4/8/2020,5583,1548,569,5297,
4/9/2020,5072,1424,561,5199,
4/10/2020,4514,1346,540,5034,
4/11/2020,3731,1109,542,5015,
4/12/2020,2889,997,572,4887,
4/13/2020,3313,1214,570,4450,
4/14/2020,4147,1095,510,4178,
4/15/2020,3877,984,455,3935,
4/16/2020,3529,884,414,3714,
4/17/2020,3584,903,385,3581,
4/18/2020,2171,676,390,3359,
4/19/2020,2346,592,399,3281,
4/20/2020,3794,728,364,3350,
4/21/2020,3066,668,324,3195,
4/22/2020,3462,600,313,3136,
4/23/2020,2843,540,332,3038,
4/24/2020,2535,554,316,2888,
4/25/2020,1597,405,264,2806,
4/26/2020,1003,376,247,2614,
4/27/2020,2291,448,271,2400,
4/28/2020,2729,447,229,2351,
4/29/2020,2342,408,240,2191,
4/30/2020,2024,349,225,2074,
5/1/2020,1890,356,210,1982,
5/2/2020,1059,266,191,1905,
5/3/2020,786,266,177,1874,
5/4/2020,1554,340,159,1769,
5/5/2020,1514,319,152,1596,
5/6/2020,1401,305,151,1461,
5/7/2020,1236,283,141,1349,
5/8/2020,1082,296,131,1233,
5/9/2020,657,210,100,1176,
5/10/2020,458,167,103,1129,
5/11/2020,1232,276,104,1083,
5/12/2020,1285,233,91,1050,
5/13/2020,1335,259,83,1041,
5/14/2020,1112,253,70,1023,
5/15/2020,875,272,86,993,
5/16/2020,486,182,83,969,
5/17/2020,359,145,77,955,
5/18/2020,898,207,59,907,
5/19/2020,1004,229,55,867,
5/20/2020,1080,181,81,831,
5/21/2020,1070,198,45,825,
5/22/2020,1047,228,65,849,
5/23/2020,460,147,60,845,
5/24/2020,470,132,49,861,
5/25/2020,468,159,49,800,
5/26/2020,1053,169,38,807,
5/27/2020,745,182,49,759,
5/28/2020,647,155,38,699,
5/29/2020,646,192,43,641,
