"","Date","CASE_COUNT","Avg_temp"
"1",2020-02-29,1,31.2
"2",2020-03-01,0,35.5
"3",2020-03-02,0,48.2
"4",2020-03-03,1,52.4
"5",2020-03-04,5,50.5
"6",2020-03-05,3,44.8
"7",2020-03-06,8,41.6
"8",2020-03-07,7,41
"9",2020-03-08,22,47.8
"10",2020-03-09,57,59.3
"11",2020-03-10,70,61
"12",2020-03-11,155,50.4
"13",2020-03-12,357,44.7
"14",2020-03-13,619,54.6
"15",2020-03-14,642,48.9
"16",2020-03-15,1036,46.8
"17",2020-03-16,2121,39.3
"18",2020-03-17,2452,47.5
"19",2020-03-18,2971,47.6
"20",2020-03-19,3707,46.2
"21",2020-03-20,4007,56
"22",2020-03-21,2637,48.5
"23",2020-03-22,2580,38.4
"24",2020-03-23,3571,39.2
"25",2020-03-24,4503,44
"26",2020-03-25,4874,42.8
"27",2020-03-26,5050,47
"28",2020-03-27,5120,57.5
"29",2020-03-28,3478,46.4
"30",2020-03-29,3562,45.5
"31",2020-03-30,6131,45.7
"32",2020-03-31,5466,44.1
"33",2020-04-01,5454,45.5
"34",2020-04-02,5757,49.2
"35",2020-04-03,5670,49.6
"36",2020-04-04,3866,50.9
"37",2020-04-05,3787,52.8
"38",2020-04-06,6366,55.8
"39",2020-04-07,6051,57.4
"40",2020-04-08,5583,53.7
"41",2020-04-09,5072,52.8
"42",2020-04-10,4514,44.2
"43",2020-04-11,3731,47.8
"44",2020-04-12,2889,53.4
"45",2020-04-13,3313,58.4
"46",2020-04-14,4147,52.5
"47",2020-04-15,3877,48
"48",2020-04-16,3529,45.6
"49",2020-04-17,3584,43.9
"50",2020-04-18,2171,44.3
"51",2020-04-19,2346,52.7
"52",2020-04-20,3794,52.7
"53",2020-04-21,3066,50.8
"54",2020-04-22,3462,44.3
"55",2020-04-23,2843,45.1
"56",2020-04-24,2535,47
"57",2020-04-25,1597,53.2
"58",2020-04-26,1003,47.6
"59",2020-04-27,2291,45
"60",2020-04-28,2729,52.3
"61",2020-04-29,2342,50
"62",2020-04-30,2024,55.2
"63",2020-05-01,1890,58.1
"64",2020-05-02,1059,63.6
"65",2020-05-03,786,68.7
"66",2020-05-04,1554,62.5
"67",2020-05-05,1514,54.7
"68",2020-05-06,1401,49.4
"69",2020-05-07,1236,57.8
"70",2020-05-08,1082,48.8
"71",2020-05-09,657,41.4
"72",2020-05-10,458,53.7
"73",2020-05-11,1232,53.7
"74",2020-05-12,1285,52
"75",2020-05-13,1335,52.2
"76",2020-05-14,1112,58.6
"77",2020-05-15,875,73.4
"78",2020-05-16,486,69.5
"79",2020-05-17,359,59.5
"80",2020-05-18,898,59.3
"81",2020-05-19,1004,60.2
"82",2020-05-20,1080,56.5
"83",2020-05-21,1070,55.6
"84",2020-05-22,1047,65.7
"85",2020-05-23,460,62.1
"86",2020-05-24,470,59.5
"87",2020-05-25,468,59.9
"88",2020-05-26,1053,63.3
"89",2020-05-27,745,65.5
"90",2020-05-28,647,68
"91",2020-05-29,646,71.4
"92",2020-05-30,349,73.7
"93",2020-05-31,230,64.5
"94",2020-06-01,687,62.8
"95",2020-06-02,574,69.5
"96",2020-06-03,516,72.4
"97",2020-06-04,525,77.3
"98",2020-06-05,403,74.2
"99",2020-06-06,247,78.2
"100",2020-06-07,199,71.4
"101",2020-06-08,451,72
"102",2020-06-09,420,81.2
"103",2020-06-10,365,75.5
"104",2020-06-11,368,74
"105",2020-06-12,410,78.7
